id,original_title,cast,director,keywords,runtime,genres,vote_average,release_year
135397,jurassic world,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,Colin Trevorrow,monster dna tyrannosaurus rex velociraptor island,124,Action Adventure Science Fiction Thriller,6.5,2015
76341,mad max fury road,Tom Hardy Charlize Theron Hugh Keays-Byrne Nicholas Hoult Josh Helman,George Miller,future chase post-apocalyptic dystopia australia,120,Action Adventure Science Fiction Thriller,7.1,2015
262500,insurgent,Shailene Woodley Theo James Kate Winslet Ansel Elgort Miles Teller,Robert Schwentke,based on novel revolution dystopia sequel dystopic future,119,Adventure Science Fiction Thriller,6.3,2015
140607,star wars the force awakens,Harrison Ford Mark Hamill Carrie Fisher Adam Driver Daisy Ridley,J.J. Abrams,android spaceship jedi space opera 3d,136,Action Adventure Science Fiction Fantasy,7.5,2015
168259,furious 7,Vin Diesel Paul Walker Jason Statham Michelle Rodriguez Dwayne Johnson,James Wan,car race speed revenge suspense car,137,Action Crime Thriller,7.3,2015
281957,the revenant,Leonardo DiCaprio Tom Hardy Will Poulter Domhnall Gleeson Paul Anderson,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,father-son relationship rape based on novel mountains winter,156,Western Drama Adventure Thriller,7.2,2015
87101,terminator genisys,Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons,Alan Taylor,saving the world artificial intelligence cyborg killer robot future,125,Science Fiction Action Thriller Adventure,5.8,2015
286217,the martian,Matt Damon Jessica Chastain Kristen Wiig Jeff Daniels Michael PeÃ±a,Ridley Scott,based on novel mars nasa isolation botanist,141,Drama Adventure Science Fiction,7.6,2015
211672,minions,Sandra Bullock Jon Hamm Michael Keaton Allison Janney Steve Coogan,Kyle Balda|Pierre Coffin,assistant aftercreditsstinger duringcreditsstinger evil mastermind minions,91,Family Animation Adventure Comedy,6.5,2015
150540,inside out,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,Pete Docter,dream cartoon imaginary friend animation kid,94,Comedy Animation Family,8.0,2015
206647,spectre,Daniel Craig Christoph Waltz LÃ©a Seydoux Ralph Fiennes Monica Bellucci,Sam Mendes,spy based on novel secret agent sequel james bond,148,Action Adventure Crime,6.2,2015
264660,ex machina,Domhnall Gleeson Alicia Vikander Oscar Isaac Sonoya Mizuno Corey Johnson,Alex Garland,dancing artificial intelligence helicopter distrust isolation,108,Drama Science Fiction,7.6,2015
257344,pixels,Adam Sandler Michelle Monaghan Peter Dinklage Josh Gad Kevin James,Chris Columbus,video game nerd alien attack 3d pixels,105,Action Comedy Science Fiction,5.8,2015
99861,avengers age of ultron,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,Joss Whedon,marvel comic comic sequel superhero vision,141,Action Adventure Science Fiction,7.4,2015
273248,the hateful eight,Samuel L. Jackson Kurt Russell Jennifer Jason Leigh Walton Goggins DemiÃ¡n Bichir,Quentin Tarantino,bounty hunter wyoming mountains hangman voice over narration,167,Crime Drama Mystery Western,7.4,2015
260346,taken 3,Liam Neeson Forest Whitaker Maggie Grace Famke Janssen Dougray Scott,Olivier Megaton,revenge murder on the run fugitive framed,109,Crime Action Thriller,6.1,2015
102899,ant man,Paul Rudd Michael Douglas Evangeline Lilly Corey Stoll Bobby Cannavale,Peyton Reed,marvel comic superhero aftercreditsstinger duringcreditsstinger marvel cinematic universe,115,Science Fiction Action Adventure,7.0,2015
150689,cinderella,Lily James Cate Blanchett Richard Madden Helena Bonham Carter Holliday Grainger,Kenneth Branagh,cinderella magic fairy tale princess shoe,112,Romance Fantasy Family Drama,6.8,2015
131634,the hunger games mockingjay part 2,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Francis Lawrence,revolution strong woman dystopia game of death 3d,136,War Adventure Science Fiction,6.5,2015
158852,tomorrowland,Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie,Brad Bird,inventor apocalypse destiny imax dreamer,130,Action Family Science Fiction Adventure Mystery,6.2,2015
307081,southpaw,Jake Gyllenhaal Rachel McAdams Forest Whitaker Oona Laurence 50 Cent,Antoine Fuqua,sport,123,Action Drama,7.3,2015
254128,san andreas,Dwayne Johnson Alexandra Daddario Carla Gugino Ioan Gruffudd Archie Panjabi,Brad Peyton,california earthquake catastrophe disaster film 3d,114,Action Drama Thriller,6.1,2015
318846,the big short,Christian Bale Steve Carell Ryan Gosling Brad Pitt Melissa Leo,Adam McKay,bank fraud biography wall street finances,130,Comedy Drama,7.3,2015
177677,mission impossible rogue nation,Tom Cruise Jeremy Renner Simon Pegg Rebecca Ferguson Ving Rhames,Christopher McQuarrie,spy sequel mission,131,Action,7.1,2015
214756,ted 2,Mark Wahlberg Seth MacFarlane Amanda Seyfried Jessica Barth Giovanni Ribisi,Seth MacFarlane,sperm bank sequel buddy courthouse teddy bear,115,Comedy,6.3,2015
207703,kingsman the secret service,Taron Egerton Colin Firth Samuel L. Jackson Michael Caine Mark Strong,Matthew Vaughn,spy great britain secret organization secret agent marvel comic,130,Crime Comedy Action Adventure,7.6,2015
314365,spotlight,Mark Ruffalo Michael Keaton Rachel McAdams Liev Schreiber John Slattery,Tom McCarthy,child abuse journalism judge florida boston,128,Drama Thriller History,7.8,2015
294254,maze runner the scorch trials,Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Giancarlo Esposito Aidan Gillen,Wes Ball,based on novel resistance maze post-apocalyptic dystopia,132,Action Science Fiction Thriller,6.4,2015
198184,chappie,Sharlto Copley Dev Patel Ninja Yolandi Visser Jose Pablo Cantillo,Neill Blomkamp,artificial intelligence android robot near future robot cop,120,Crime Action Science Fiction,6.6,2015
254470,pitch perfect 2,Anna Kendrick Rebel Wilson Hailee Steinfeld Brittany Snow Skylar Astin,Elizabeth Banks,music sequel singer male female relationship audition,115,Comedy Music,6.8,2015
296098,bridge of spies,Tom Hanks Mark Rylance Amy Ryan Alan Alda Sebastian Koch,Steven Spielberg,spy cia cold war pilot lawyer,141,Thriller Drama,7.1,2015
257445,goosebumps,Jack Black Dylan Minnette Odeya Rush Amy Ryan Jillian Bell,Rob Letterman,based on novel magic fantasy family 3d,103,Adventure Horror Comedy,6.2,2015
264644,room,Brie Larson Jacob Tremblay Joan Allen Sean Bridgers William H. Macy,Lenny Abrahamson,based on novel carpet isolation imprisonment grandparents,117,Drama Thriller,8.0,2015
105864,the good dinosaur,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla,Peter Sohn,tyrannosaurus rex friends animation alternate history dinosaur,93,Adventure Animation Comedy Family Fantasy,6.6,2015
241554,run all night,Liam Neeson Ed Harris Joel Kinnaman Boyd Holbrook Bruce McGill,Jaume Collet-Serra,hitman revenge murder on the run mobster,114,Action Crime Drama Mystery Thriller,6.3,2015
167073,brooklyn,Saoirse Ronan Domhnall Gleeson Emory Cohen Emily Bett Rickards Eileen O'Higgins,John Crowley,love triangle based on novel homesickness vororte ship,111,Drama Romance,7.3,2015
277216,straight outta compton,O'Shea Jackson Jr. Corey Hawkins Jason Mitchell Neil Brown Jr. Aldis Hodge,F. Gary Gray,brother brother relationship aids police brutality hip-hop wife husband relationship,147,Drama Music,7.7,2015
274854,the last witch hunter,Vin Diesel Rose Leslie Michael Caine Elijah Wood Ã“lafur Darri Ã“lafsson,Breck Eisner,new york witch uprising witch hunter,106,Fantasy Action Adventure,5.6,2015
321697,steve jobs,Michael Fassbender Kate Winslet Seth Rogen Katherine Waterston Jeff Daniels,Danny Boyle,biography computer based on true story father daughter relationship apple computer,122,History Drama,6.9,2015
203801,the man from u n c l e ,Henry Cavill Armie Hammer Alicia Vikander Elizabeth Debicki Luca Calvani,Guy Ritchie,spy cold war remake based on tv series buddy cop,116,Comedy Action Adventure,7.0,2015
293863,the age of adaline,Blake Lively Michiel Huisman Harrison Ford Ellen Burstyn Kathy Baker,Lee Toland Krieger,san francisco immortality love forever,112,Fantasy Drama Romance,7.3,2015
325348,hardcore henry,Sharlto Copley Haley Bennett Danila Kozlovskiy Tim Roth Andrei Dementiev,Ilya Naishuller,female nudity cyborg nudity murder gore,97,Action Adventure Science Fiction,5.9,2015
